hanged, drawn and quartered	statutory penalty in England for men convicted of high treason
Grammy Award for Best Bluegrass Album	No description defined
table tennis	racket sport
48th Academy Awards	No description defined
National Society of Film Critics Award for Best Actress	award
81st Academy Awards	No description defined
Independent Spirit Award for Best Supporting Female	No description defined
MTV Movie Award for Best Jaw Dropping Moment	No description defined
systemic lupus erythematosus	inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.
Golden Raspberry Award for Worst Prequel, Remake, Rip-off or Sequel	No description defined
Primetime Emmy Award for Outstanding Animated Program	No description defined
Primetime Emmy Award for Outstanding Supporting Actress in a Miniseries or a Movie	No description defined
1908 Summer Olympics	Games of the IV Olympiad, celebrated in London (United Kingdom) in 1908
39th Daytime Emmy Awards	No description defined
bobsleigh	winter sport where sleigh is carried downhill a course
58th Academy Awards	No description defined
1968 Summer Olympics	games of the XIX Olympiad, celebrated in Mexico City in 1968
Hong Kong Film Award for Best Director	No description defined
1912 Summer Olympics	Games of the V Olympiad, celebrated in Stockholm (Sweden) in 1912
Goya Award for Best Director	award
Cannes Film Festival Award for Best Actress	No description defined
Grammy Award for Best New Age Album	No description defined
cardiac dysrhythmia	group of conditions in which the heartbeat is irregular, too fast, or too slow
Broadcast Film Critics Association Award for Best Actress	award
80th Academy Awards	No description defined
Primetime Emmy Award for Outstanding Guest Actor in a Drama Series	No description defined
prostate cancer	male reproductive organ cancer that is located in the prostate.
47th Academy Awards	No description defined
Grammy Award for Best Rap/Sung Collaboration	award
hanging	suspension of a person by a ligature
figure skating	sport and art performing figure skates on ice
Primetime Emmy Award for Outstanding Writing for a Comedy Series	No description defined
hypertension	high blood pressure & essential hypertension
whitewater slalom	sport to navigate a canoe or kayak through a course of hanging gates on river rapids
1976 Winter Olympics	12th edition of Winter Olympics, held in Innsbruck (Austria) in 1976
Master	bachelor
25th Academy Awards	No description defined
1924 Summer Olympics	games of the VIII Olympiad, celebrated in Paris, France in 1924
31st Academy Awards	No description defined
judo	modern martial art, combat and Olympic sport
respiratory system disease	disease of the respiratory system
Saturn Award for Best Actress	award
57th Golden Globe Awards	No description defined
37th Academy Awards	No description defined
1900 Summer Olympics	Games of the II Olympiad, celebrated in Paris (France) in 1900
66th Golden Globe Awards	2009 edition of the Golden Globe Awards
BAFTA Award for Best Editing	award
psychotic disorder	mental conditions
non-steroidal anti-inflammatory drug	class of drug
Goya Award for Best Original Screenplay	No description defined
Grammy Award for Best Recording Package	No description defined
Grammy Award for Album of the Year	No description defined
Chicago Film Critics Association Award for Best Actor	No description defined
Cannes Film Festival Award for Best Actor	award given to the best actor at the Cannes Film Festival
Grammy Award for Best Male Country Vocal Performance	No description defined
pediatrics	field of medicine dealing with the care of children
National Society of Film Critics Award for Best Actor	No description defined
Satellite Award for Best Animated or Mixed Media Feature	No description defined
dysentery	inflammation of the intestine causing diarrhea with blood
myocardial infarction	interruption of blood supply to a part of the heart
MTV Video Music Award for Best Hip-Hop Video	award
65th Tony Awards	award ceremony
Tony Award for Best Featured Actor in a Play	award
51st Academy Awards	No description defined
luge	sledding sport
MTV Video Music Award for Best Cinematography	No description defined
Grammy Award for Best Classical Album	No description defined
stomach cancer	A gastrointestinal system cancer that is located_in the stomach.
Grammy Award for Best Urban/Alternative Performance	award
BAFTA Award for Best Actor in a Supporting Role	award
Golden Globe Award for Best Original Song	award
Satellite Award for Best Original Song	No description defined
44th Academy Awards	No description defined
cancer	disease of cellular proliferation that is malignant and primary, characterized by uncontrolled cellular proliferation, local cell invasion and metastasis
1992 Summer Olympics	games of the XXV Olympiad, celebrated in Barcelona in 1992
Parkinson's disease	synucleinopathy that has_material_basis_in degeneration of the central nervous system that often impairs motor skills, speech, and other functions.
1988 Summer Olympics	Games of the XXIV Olympiad, celebrated in Seoul (South Korea) in 1988
Grammy Award for Best Female Rock Vocal Performance	award
synchronized swimming	hybrid form of swimming, dance and gymnastics
swimming	water based sport
MTV Video Music Award for Best New Artist	award
water polo	ballgame-team sport played in water by teams competing to put the ball into the opponent's goal
diabetes mellitus	glucose metabolism disease characterized  by chronic hyperglycaemia with disturbances of carbohydrate, fat and protein metabolism resulting from defects in insulin secretin, insulin action, or both.
Grammy Award for Best Female Pop Vocal Performance	award
lung cancer	malignant lung tumor
Daytime Emmy Award for Outstanding Children's Animated Program	No description defined
15th Screen Actors Guild Awards	ceremony on 25 January 2009 concerning films released in 2008
42nd Academy Awards	No description defined
77th Academy Awards	No description defined
cross-country skiing	winter sport
Broadcast Film Critics Association Award for Best Film	award
1960 Winter Olympics	8th edition of Winter Olympics, held in Squaw Valley (United States) in 1960
Greco-Roman wrestling	No description defined
Japan Academy Prize for Picture of the Year	award
show jumping	part of a group of English riding equestrian events
racewalking	olympic, athletic discipline
67th Golden Globe Awards	No description defined
cycling	riding a bicycle
slavery	system under which people are treated as property to be bought and sold, and are forced to work
murder	unlawful killing of a human with malice aforethought
Satellite Award for Best Cinematography	No description defined
MTV Video Music Award for Best Visual Effects	award
MTV Video Music Award for Best Art Direction	award
Latin Grammy Award for Song of the Year	No description defined
angina pectoris	chest pain due to ischemia of the heart muscle
79th Academy Awards	No description defined
Satellite Awards 2006	No description defined
fencing	sport
Hong Kong Film Award for Best Film	No description defined
Nobel Prize in Physiology or Medicine	one of five Nobel Prizes established in 1895 by Alfred Nobel
Golden Raspberry Award for Worst Actor	award presented at the annual Golden Raspberry Awards
38th Daytime Emmy Awards	No description defined
Los Angeles Film Critics Association Award for Best Director	No description defined
law degree	academic degree conferred for studies in law
Academy Award for Best Documentary Feature	No description defined
autistic disorder	neurodevelopmental disorder
Broadcast Film Critics Association Award for Best Song	No description defined
66th Academy Awards	No description defined
speed skating	competitive form of ice skating in which the competitors race each other
heart failure	condition in which the heart is unable to provide sufficient pump action
AACTA Award for Best Actress in a Leading Role	AACTA Awards
63rd Golden Globe Awards	No description defined
liver cirrhosis	disease of the liver
Goya Award for Best Actor	No description defined
60th Golden Globe Awards	No description defined
Academy Award for Best Picture	annual award from the Academy of Motion Picture Arts and Sciences (AMPAS)
49th Academy Awards	No description defined
rhythmic gymnastics	gymnastics accompanied by music
Academy of Television Arts & Sciences	organization
2004 Summer Olympics	games of the XXVIII Olympiad, celebrated in Athens in 2004
Tony Award for Best Featured Actor in a Musical	award
29th Academy Awards	No description defined
leukemia	cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
Primetime Emmy Award for Outstanding Lead Actor in a Drama Series	No description defined
Latin Grammy Award for Record of the Year	No description defined
55th Primetime Emmy Awards	No description defined
Broadcast Film Critics Association Award for Best Composer	No description defined
Master of Science	master's degree awarded for post-graduate study in the sciences, or occasionally social sciences
Academy Award for Best Actress	award presented annually by the Academy of Motion Picture Arts and Sciences
cricket	team sport played with bats and balls
BAFTA Award for Best Adapted Screenplay	award
MTV Movie Award for Best Comedic Performance	No description defined
MTV Video Music Award for Video of the Year	award
National Board of Review Award for Best Director	No description defined
Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series	No description defined
Broadcast Film Critics Association Award for Best Supporting Actor	No description defined
1980 Summer Olympics	games of the XXII Olympiad, celebrated in Moscow in 1980
Doctor of Medicine	postgraduate medical degree
Primetime Emmy Award for Outstanding Writing for a Drama Series	No description defined
cerebrovascular disease	artery disease that is characterized by dysfunction of the blood vessels supplying the brain.
diving	sport of jumping or falling into water from a platform or springboard
osteoporosis	bone resorption disease characterized by decreased density of normally mineralized bone which results in the thinning of bone tissue and decreased mechanical strength
alpine skiing	skiing variation
Primetime Emmy Award for Outstanding Directing for a Drama Series	award
33rd Academy Awards	No description defined
Academy Award for Best Writing, Original Screenplay	No description defined
Golden Lion	the highest prize given to a film at the Venice Film Festival
69th Golden Globe Awards	award for best in film and television of 2011
1964 Summer Olympics	games of the XVIII Olympiad, celebrated in Tokyo in 1964
16th Screen Actors Guild Awards	ceremony on 23 January 2010 concerning films released in 2009
1984 Winter Olympics	14th edition of Winter Olympics, held in Sarajevo (Yugoslavia) in 1984
12th Screen Actors Guild Awards	ceremony on 29 January 2006 concerning films released in 2005
New York Film Critics Circle Award for Best Actor	No description defined
hypothyroidism	endocrine disease
Grammy Award for Best Dance/Electronic Album	music award
Japan Academy Prize for Director of the Year	award
Golden Globe Cecil B. DeMille Award	award
59th Academy Awards	No description defined
Grammy Award for Best Score Soundtrack for Visual Media	No description defined
Grammy Award for Best Song Written for a Motion Picture, Television or Other Visual Media	award
63rd Primetime Emmy Awards	No description defined
Grammy Award for Best Spoken Word Album for Children	No description defined
infection	invasion of a host by disease-causing organisms
cerebral hemorrhage	type of intracranial hemorrhage that occurs within the brain tissue itself
1960 Summer Olympics	games of the XVII Olympiad, celebrated in Rome in 1960
Grammy Award for Best Pop Vocal Album	music award for quality pop music albums
MTV Movie Award for Most Desirable Female	No description defined
National Society of Film Critics Award for Best Supporting Actor	No description defined
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series	No description defined
pathogenic bacteria	No description defined
28th Academy Awards	No description defined
Bachelor of Fine Arts	University degree in North America
BIFA Award for Best British Independent Film	No description defined
Satellite Awards 2008	No description defined
freestyle wrestling	style of amateur wrestling
Golden Raspberry Award for Worst Actress	No description defined
schizophrenia	psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
dyspnea	feelings associated with impaired breathing
Juris Doctor	professional doctorate and first professional graduate degree
45th Academy Awards	No description defined
Grammy Award for Best Female Country Vocal Performance	No description defined
Academy Award for Best Supporting Actor	one of the Academy Awards of Merit
Best Screenplay Award (Cannes Film Festival)	award
track and field	sport involving various running, jumping and throwing disciplines
Academy Award for Best Supporting Actress	award presented annually by the Academy of Motion Picture Arts and Sciences
Grammy Award for Best Classical Contemporary Composition	No description defined
MTV Movie Award for Best On-Screen Duo	No description defined
poliomyelitis	Human disease
59th Primetime Emmy Awards	No description defined
73rd Academy Awards	No description defined
road running	distance running sport on roads
gastroesophageal reflux disease	disease caused by stomach acid coming up from the stomach into the esophagus
57th Academy Awards	No description defined
Broadcast Film Critics Association Awards 2009	No description defined
alcoholism	broad term for problems with alcohol
mountain	large landform that stretches above the surrounding land
track cycling	type of sport
chemotherapy	treatment of cancer with one or more cytotoxic anti-neoplastic drugs
London Film Critics Circle Award for Actress of the Year	No description defined
63rd Academy Awards	No description defined
72nd Academy Awards	No description defined
66th Tony Awards	No description defined
70th Academy Awards	No description defined
MTV Video Music Award for Best Male Video	award
1896 Summer Olympics	Games of the I Olympiad, celebrated in Athens (Greece) in 1896
55th Golden Globe Awards	No description defined
liver failure	No description defined
Academy Award for Best Original Musical Score	No description defined
psychiatry	medical specialty devoted to the study, diagnosis, treatment, and prevention, of mental disorders
Critics' Choice Movie Award for Best Animated Feature	No description defined
Tony Award for Best Book of a Musical	No description defined
1992 Winter Olympics	16th edition of Winter Olympics, held in Albertville (France) in 1992
Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie	No description defined
National Society of Film Critics Award for Best Film	No description defined
sports video game	video game genre
Primetime Emmy Award for Outstanding Drama Series	award
malaria	disease
headache	pain in the head or neck
BAFTA Award for Best Actress in a Leading Role	No description defined
Academy Award for Best Costume Design	No description defined
Bachelor of Laws	undergraduate degree in law
Academy Award for Best Director	No description defined
Tony Award for Best Actor in a Play	honor presented at the Tony Awards
Satellite Award for Best Adapted Screenplay	No description defined
75th Academy Awards	No description defined
1904 Summer Olympics	Games of the III Olympiad, celebrated in Saint Louis (United States) in 1904
