Scott Baio	actor, television director
Eric Clapton	English musician, singer, songwriter, and guitarist
Marc Cherry	American television writer and producer
Josh Freese	Session musician
Lars Ulrich	Danish musician
David Sylvian	English singer
Rodney Jerkins	American songwriter, record producer and musician
Ronnie Wood	British rock musician, member of The Rolling Stones
Michael Giacchino	American film / television composer
Brigitte Nielsen	Danish actor, model and musician
Tia Carrere	Actress, singer
Pitbull	American rapper, songwriter and record producer
Kate Bush	English singer, songwriter, musician and record producer
Lauren Conrad	Television personality, author, fashion and designer
Roy Webb	American-born composer
Kylie Minogue	Australian singer, recording artist, songwriter and actress
Robyn Hitchcock	singer, songwriter, and guitarist from Britain
Ludacris	American rapper and actor
Nico	German musician, model and actress, one of Warhol's superstars
Steve Jordan	American composer, musical director and artist
Barry White	American singer-songwriter
Gregg Allman	American rock and blues singer, keyboardist, guitarist and songwriter
Bootsy Collins	American musician
Britney Spears	American singer, dancer and actress
L.A. Reid	American musician and executive
Edgar Meyer	American musician
Neil Young	Canadian singer-songwriter
Toni Braxton	American R&B singer-songwriter
Victor Young	American composer
Andrea Martin	American and Canadian actress
Duff McKagan	American rock musician
Paula Abdul	singer and songwriter from the United States
Ray Charles	American musician
Yngwie Malmsteen	Swedish musician
Robert Guza, Jr.	American television producer and writer
Jim Steinman	American musician
Master P	American rapper, actor, producer, and basketball player
LeAnn Rimes	American singer, songwriter, actress
Waylon Jennings	American country music singer, songwriter, and musician
Jim O'Rourke	American musician
Hayden Panettiere	actress, singer
Kurt Cobain	American musician and artist
Pete Seeger	American folk singer
Tori Spelling	American actress and author
Bret Michaels	musician, actor, director, screenwriter, producer and reality television personality from the United States
Ricky Martin	singer from Puerto Rico
Dr. Dre	American rapper, entrepreneur, actor, record producer
Bob Ludwig	American audio engineer
Jon Lord	English composer and keyboard player
David Lee Roth	Rock vocalist; lead singer with Van Halen
Bill Berry	drummer for R.E.M.
Michael Biehn	American actor
Wendy Melvoin	American musician
Chuck Berry	American rock-and-roll musician
Danny Smith	writer and voice actor
RedOne	Swedish songwriter
Damon Albarn	English musician
DMX	American rapper and actor
Brian Eno	English musician, composer, record producer and visual artist
Mike Patton	American singer
Donovan	Scottish singer, songwriter and guitarist
Paquito D'Rivera	Cuban musician
Andrew Lloyd Webber	British composer
James Newton Howard	American composer
TobyMac	American rapper
Patrick Doyle	British composer
Jason Priestley	Canadian-American actor
Chaka Khan	American singer-songwriter
Emma Roberts	American actress
Tim Rice	British lyricist and author
Neil Diamond	American singer-songwriter
Diane Warren	American songwriter
John 5	American guitarist
Bruce Hornsby	American singer, pianist, and songwriter
Sergei Prokofiev	Russian and Soviet pianist and composer
John Hartford	American singer-songwriter and musician
Vladimir Horowitz	American classical pianist and composer
Ashanti	singer, songwriter, record producer, actress, dancer,
Don Black	English lyricist
Patti Smith	American singer-songwriter, poet and visual artist
Fred Ebb	Musical theatre lyricist
Steven Tyler	American singer, songwriter, and multi-instrumentalist
Kelly Osbourne	English singer-songwriter, actress, television presenter and fashion designer
Jake Shimabukuro	American ukulele player and composer
Taylor Lautner	American actor, voice actor, and model
George Michael	English singer-songwriter, musician, producer
Tony Levin	American musician
Michael Brecker	American musician
Bonnie Raitt	blues singer-songwriter and slide guitar player from the United States
Carl Davis	American conductor
Brad Paisley	singer
Eddie Vedder	musician, songwriter, member of Pearl Jam
Avril Lavigne	Canadian singer-songwriter and actress
Jonathan Murray	Television producer
Terence Blanchard	American musician and composer
Cher	American singer and actress
Lil Jon	American rapper
BeBe Winans	American gospel singer
Adele	British singer-songwriter and actress
Freddie Hubbard	American musician
Dave Brubeck	American Jazz pianist and composer
Phil Ramone	American recording engineer, record producer and violinist
Mandy Moore	American singer, actress
Sapida	Colombian singer
Ravi Shankar	Indian musician and sitar player
Jaco Pastorius	Musician, producer, educator
Daddy Yankee	reggaeton artist
Dolph Lundgren	Swedish actor
Ludwig van Beethoven	German Romantic composer
Alan Bergman	American lyricist
Trisha Yearwood	American country singer
Adolph Green	American musician
Harry Gregson-Williams	British composer
Sting	English musician
Jean Passanante	American screenwriter
Hank Williams Jr.	American country singer-songwriter and musician
The Edge	Irish rock musician, guitar player of U2
Leigh Harline	film composer and songwriter
T-Pain	American rapper
Fred Frith	English musician, composer and improvisor
Nicole Scherzinger	American singer, dancer
Jermaine Dupri	American musician
Warren Zevon	American singer-songwriter
John Barry	English composer and conductor of film music
Leonard Bernstein	American composer, conductor, author, music lecturer, and pianist
Steely Dan	American rock band
Macy Gray	American singer-songwriter and actress
Brody Jenner	American reality television personality and model
Peter Frampton	musician from England
Marcus Miller	Jazz musician
Alex Borstein	American actor and comedian
Tom Waits	American singer-songwriter and actor
Sarah Polley	Canadian actress, film director and screenwriter
Maury Chaykin	American actor
Missy Elliott	American musician
Bruno Mars	American singer-songwriter and record producer
Richard Rodgers	American composer
Wyclef Jean	Haitian rapper, musician and actor
Marco Beltrami	American composer
Allan Holdsworth	English guitarist and composer
Patti LaBelle	American singer-songwriter and actress
Meat Loaf	American musician, singer, songwriter, record producer and actor
Nas	American rapper, and actor
Charles Mingus Jr.	American jazz double bassist, composer and bandleader
Jay Bennett	Singer-songwriter, producer
Jackson Browne	American singer-songwriter
John Debney	American film composer
Lisa Gerrard	Australian musician, singer and composer
Donna Summer	American singer and songwriter
Randy Edelman	American composer
Draco Rosa	Puerto Rican singer
Andrea Bocelli	Italian tenor and singer-songwriter
Agnes Nixon	American screenwriter
Brian McKnight	American singer-songwriter, arranger, producer, and R&B musician
Jimi Hendrix	American musician, singer and songwriter
Christopher Cross	American singer-songwriter
David Spade	American stand-up comedian
Alan Silvestri	American composer
Jon Bon Jovi	American singer and musician
Sufjan Stevens	American singer-songwriter and multi-instrumentalist
Ice-T	American rapper and actor
James Taylor	American singer-songwriter and guitarist
Simon Cowell	English reality television judge and producer
Reba McEntire	American country music artist and actress
Zach Braff	American actor, director, screenwriter, producer
Gustavo Cerati	Argentine musician, singer-songwriter and composer
Calle 13	Puerto Rican band
Freddie Prinze	American actor
Sam Bush	American musician
Michael Sembello	American musician
Jim Jonsin	American record producer
Diana Krall	Canadian musician
Fat Joe	American rapper
Barbra Streisand	American singer, actress, writer, film producer, and director
Ozzy Osbourne	English heavy metal vocalist and songwriter
Jimmy Page	British guitarist
