Anthony Horowitz	English novelist and screenwriter
SpongeBob SquarePants	American animated television series
Hunter S. Thompson	American journalist and author
Joseph Heller	American author
Robert F. Kennedy	American politician and brother of John F. Kennedy
Kiki's Delivery Service	1989 Japanese animated film by Hayao Miyazaki
Michelangelo	Italian sculptor, painter, architect and poet
Hollyoaks	British soap opera
The O.C.	TV series from the USA
Lyndon B. Johnson	American politician, 36th president of the United States (in office from 1963 to 1969)
speaker of the United States House of Representatives	position
Mad About You	1990s American TV sitcom
Orson Scott Card	American science fiction novelist
Mobile Suit Gundam SEED Destiny	manga
Arthur Schopenhauer	German philosopher
Martin Heidegger	German philosopher
Francis Bacon	English philosopher, statesman, scientist, jurist, and author
Rabindranath Tagore	Bengali polymath
Charles Stross	British science fiction writer and blogger
Power Rangers	franchise
Eat Bulaga!	noontime variety show from the Philippines
Henry James	American novelist, short story author, and literary critic
The Challenge	reality game show
George W. Bush	43rd President of the United States
Street Fighter II: The Animated Movie	Japanese 1994 animated film
The Transformers	1984-1987 animated TV series
My Neighbor Totoro	1988 film
Albert Camus	French author and journalist
Joe Biden	47th Vice President of the United States
William Shakespeare	English playwright and poet
104th United States Congress	No description defined
Woodrow Wilson	American politician, 28th president of the United States (in office from 1913 to 1921)
Star Trek: The Animated Series	Animated science fiction television series
103rd United States Congress	No description defined
Walt Whitman	American poet, essayist and journalist
Jean-Jacques Rousseau	Genevan philosopher
Tin Man	TV miniseries
My-HiME	No description defined
Upstairs, Downstairs	UK 1971-1975 television series
Lewis Cass	American politician
Declaration of Independence of the United States	announcement by which the American colonies declared their independence from Great Britain and thus founded the United States
Seamus Heaney	Irish poet, playwright, translator, lecturer
Lonesome Dove	1989 television miniseries
Immanuel Kant	German philosopher
Grover Cleveland	22nd and 24th president of the United States
The Stand	No description defined
Ian McEwan	British author
The X-Files	American science fiction drama television series
Everybody Loves Raymond	TV sitcom
Scrubs	American medical comedy-drama television series
Star Trek: Deep Space Nine	science fiction television series
Star Trek: The Original Series	television series from the 1960s
The Office	American comedy television series
Ayn Rand	Russian-American novelist and philosopher
Jorge Luis Borges	Argentine short-story writer, essayist, poet and translator, and a key figure in Spanish language literature
Jane Austen	English novelist
Richard Dawkins	English ethologist, evolutionary biologist and author
Margaret Thatcher	British stateswoman and politician
Harlan Ellison	American writer
Bewitched	American sitcom
Final Fantasy VII: Advent Children	2005 film by Tetsuya Nomura
Leon Trotsky	Marxist revolutionary from Russia
Saul Bellow	Canadian-born American writer
The Transformers: The Movie	1986 US animated film
James Joyce	Irish novelist and poet
Magical Girl Lyrical Nanoha	anime
CBS Schoolbreak Special	No description defined
United States Secretary of the Treasury	No description defined
John Updike	American novelist, poet, short story writer, art critic, and literary critic
4th United States Congress	No description defined
Roosevelt family	family
Joseph Conrad	Polish-British writer
Condoleezza Rice	American Republican politician; U.S. Secretary of State; political scientist
Peng Dehuai	Chinese general and politician
Warren Ellis	English comics and fiction writer
Veronica Mars	American television series
The Golden Girls	American sitcom
Skull and Bones	undergraduate senior secret society at Yale University
Brothers & Sisters	television series
Heroes	American science fiction television drama series
Grant Morrison	writer
Bill Clinton	42nd President of the United States
The Life and Death of Peter Sellers	television film
2nd United States Congress	legislative term
Parks and Recreation	American comedy television series
Loving	No description defined
Ryan's Hope	No description defined
Georg Wilhelm Friedrich Hegel	German philosopher
George H. W. Bush	American politician, 41st president of the United States
Pier Paolo Pasolini	Italian film director, poet, writer and intellectual
Alastair Reynolds	British novelist and astronomer
Entourage	American comedy-drama television series
Dexter	American television series
Fritz Leiber Junior	American writer of fantasy, horror, and science fiction
The Penguins of Madagascar	American animated television series airing on Nickelodeon
Jimmy Carter	American politician, 39th president of the United States (in office from 1977 to 1981)
Frank Gehry	Canadian-American (b.1929)
Disney's House of Mouse	No description defined
Enrico Fermi	Italian physicist
William James	American philosopher, psychologist, and pragmatist
Lou Grant	television series
King of the Hill	animated television series
25th United States Congress	No description defined
Indian Idol	Indian singing talent show
26th United States Congress	No description defined
27th United States Congress	No description defined
Sonic X	Anime television series from 2003
Pablo Picasso	Spanish painter, sculptor, printmaker, ceramicist, and stage designer
Beverly Hills, 90210	1990s American television series
That '70s Show	American television period sitcom
The Walking Dead	American post-apocalyptic drama television series
Benito Mussolini	Prime Minister of Italy and Duce of Fascism
Top Chef	American reality competition show
NYPD Blue	American television police drama
Herman Melville	American novelist, short story writer, essayist, and poet
Robert Byrd	United States Senator from West Virginia
Digimon Adventure	No description defined
Chrono Crusade	anime
Bernard Law Montgomery, 1st Viscount Montgomery of Alamein	British Army officer, Commander of Allied forces at the Battle of El Alamein
Scarlett	Television series
Herbert Hoover	31st President of the United States of America
Nurse Jackie	American television series
Chiang Kai-shek	Chinese politician and military leader
Thomas Pynchon	American novelist
United States Secretary of State	U.S. cabinet member and head of the U.S. State Department
Looney Tunes	American animated series of comedy short films
Yu-Gi-Oh! GX	anime
David Petraeus	retired American military officer and public official
Alexandre Dumas	French writer and dramatist, father of the homonym writer and dramatist
Love of Life	No description defined
American Masters	American television series
William Somerset Maugham	British playwright, novelist, short story writer
Wonder Woman	a never-aired television pilot produced by Warner Bros. Television and DC Entertainment for NBC
Mary Shelley	English novelist, short story writer, dramatist, essayist, biographer, and travel writer
South Park	American animated sitcom
Magic Knight Rayearth	Japanese manga series by Clamp
The Wire, season 5	No description defined
Charmed	American supernatural drama / fantasy television series (1998-2006)
Theodore Roosevelt	American politician, 26th president of the United States
Baruch Spinoza	Dutch philosopher
Gordon Brown	British Labour Party politician
Tony Blair	British politician
Robert Anton Wilson	American author and polymath
Futurama	American comedic animated television show
Jacques Lacan	French psychoanalyst and psychiatrist
Chicago Hope	television series
John Rawls	American political philosopher
Nikola Tesla	Serbian American inventor
Anthony Burgess	English writer
Thomas and Friends	British children's television series
Theodor W. Adorno	German sociologist, philosopher and musicologist known for his critical theory of society
Coronation Street	British soap opera
Guiding Light	television series
Mad Men	American television period drama series
Walter Scott	Scottish historical novelist, playwright, and poet
Murphy Brown	No description defined
Detective Conan: Captured in Her Eyes	2000 film by Kenji Kodama
St. Elsewhere	television series
William Gibson	American-Canadian speculative fiction novelist and founder of the cyberpunk subgenre
30th United States Congress	No description defined
Kim Stanley Robinson	American science fiction writer
Elmore Leonard	American novelist and screenwriter
ECW on TNN	television program
Connie Willis	American science fiction writer
The Twilight Zone	1985 TV series
Karl Marx	German philosopher, economist, sociologist, journalist and revolutionary socialist
Mobile Suit Gundam 00	anime television series
Friedrich Nietzsche	German philosopher, poet, composer, cultural critic, and classical philologist
National Heads-Up Poker Championship	television program
105th United States Congress	No description defined
teen drama	television genre
Henry David Thoreau	1817-1862 American poet, essayist, naturalist, and abolitionist
Thomas Hardy	English novelist and poet
Alan Mathison Turing	British mathematician, logician, cryptanalyst, and computer scientist
Mobile Suit Gundam: Char's Counterattack	manga
Cranford	television program
Philip Pullman	English author
Arrested Development	American television sitcom created by Mitchell Hurwitz for the Fox Broadcasting Company and Netflix
Ariel Sharon	prime minister of Israel and Israeli general
The Young and the Restless	television series
Sex and the City	American TV series
Marcel Duchamp	French painter and sculptor
Chris Claremont	writer
Picket Fences	television series
The Venture Bros.	No description defined
Naruto the Movie: Legend of the Stone of Gelel	film
The Larry Sanders Show	television program
Entertainment Tonight	No description defined
John Stuart Mill	British philosopher and political economist
24	American television series
Alias	American spy-action television series
Joe Haldeman	American science fiction writer
The Edge of Night	television series
Richard Feynman	American quantum physicist
Friedrich Hayek	Austrian and British economist and Nobel Prize for Economics laureate
William Henry Harrison	American general and politician, 9th president of the United States (in office in 1841)
American Dad!	American animated comedic sitcom
Frederik Pohl	American science fiction writer and editor
Law & Order	original TV series from 1990 to 2010
Henri Matisse	French artist
Fist of the North Star	1986 film by Toyoo Ashida
WCW Monday Nitro	television series
Dean Koontz	American author
Code Geass	Anime television series
Samuel Beckett	Irish novelist, playwright, and poet
Harry S. Truman	American politician, 33rd president of the United States (in office from 1945 to 1953)
John Adams	2nd President of the United States
John Dingell, Jr.	American politician
Cory Doctorow	Canadian-British blogger, journalist, and science fiction author
Days of our Lives	daytime soap opera
Real World	reality television program on MTV
Pushing Daisies	American fantasy comedy-drama television series
Doctor Who	British science fiction TV series
Angel	1999 American television series
Another World	TV series
William Faulkner	American writer
Harold Pinter	playwright from England
Neil Gaiman	English fantasy writer
Leo Strauss	Classical philosophy specialist and father of neoconservativism
John Irving	American novelist and screenwriter
Allen Ginsberg	American poet
Gulliver's Travels	No description defined
Lost, season 3	television season
William Blake	English Romantic poet and artist
The Cleveland Show	American animated sitcom, spin-off of Family Guy
The Super Dimension Fortress Macross	anime
Charles, Prince of Wales	son of Queen Elizabeth II of the United Kingdom
Sylvia Plath	American poet, novelist and short story writer
Bury My Heart at Wounded Knee	2007 US TV film
Graham Greene	English writer, playwright and literary critic
Edgar Rice Burroughs	American writer
James A. Garfield	American politician, 20th president of the United States (in office in 1881)
Ugly Betty	American dramedy television series
Frank Miller	American writer, artist, film director
Joseph Stalin	General secretary of the Communist Party of the Soviet Union
The Tudors	historical fiction television series
Colin Powell	Former U.S. Secretary of State and retired four-star general
16th United States Congress	No description defined
17th United States Congress	No description defined
15th United States Congress	No description defined
Nancy Pelosi	American politician, first female Speaker of the House of Representatives, born 1940
9th United States Congress	No description defined
The Price Is Right	game show in the United States
Happy Days	1974-1984 television comedy set in the 1950s
8th United States Congress	No description defined
Tenjho Tenge	manga
J. K. Rowling	British novelist, author of the Harry Potter series
Backstairs at the White House	1979 film by Michael O'Herlihy
The Wire, season 2	No description defined
Victor Hugo	French poet, novelist, and dramatist
David Foster Wallace	American fiction writer and essayist
Nikolai Gogol	Russian writer
Six Feet Under	American drama television series
J. M. Coetzee	South African writer
Last of the Summer Wine	British sitcom
Detective Conan: The Phantom of Baker Street	2002 film by Kenji Kodama
Isaac Asimov	American writer and professor of biochemistry at Boston University, known for his works of science fiction and popular science
Romeo and Juliet	tragedy by William Shakespeare
112th United States Congress	legislative term
John Quincy Adams	American politician, 6th president of the United States (in office from 1825 to 1829)
Daniel Inouye	American politician from Hawaii, Medal of Honor recipient and World War II veteran
Freakazoid!	television series
19th United States Congress	No description defined
18th United States Congress	No description defined
Ulysses S. Grant	18th President of the United States
Game of Thrones	American fantasy drama television series
Al Gore Jr.	45th Vice President of the United States
3rd United States Congress	No description defined
F. Scott Fitzgerald	American novelist and screenwriter
5th United States Congress	No description defined
existentialism	philosophical current
Gia	1998 biographical HBO film
George V	King of the United Kingdom and the British Dominions, and Emperor of India
Community	American TV series
Avatar: The Last Airbender	animated television series
J. R. R. Tolkien	British philologist and author, creator of classic fantasy works
MegaMan NT Warrior	manga
James Buchanan	American politician, 15th president of the United States (in office from 1857 to 1861)
Ally McBeal	American legal comedy-drama television series
The Smurfs	television series
Late Show with David Letterman	American late-night talk show hosted by David Letterman on CBS
Naruto Shippuden the Movie: Bonds	2008 Japanese animated film
Hillary Clinton	American politician, senator, and U.S. Secretary of State
Charles Bukowski	American writer
John Keats	English Romantic poet
Frasier	American sitcom
Project Runway	television series
Martin Luther King, Jr.	American clergyman, activist, and leader in the American Civil Rights Movement
Franklin Delano Roosevelt	32nd US president
