Schleswig-Holstein	state in Northern Germany
Brompton Cemetery	cemetery near Earl's Court in South West London, England
Liverpool	city in Merseyside, England, United Kingdom
Wakefield	city in West Yorkshire, England
University of Pisa	Italian public research university located in Pisa
Duisburg	city in North Rhine-Westphalia, Germany
Belleville	city in Ontario, Canada
Brunswick	city in Lower Saxony, Germany
Brixton	district in the London Borough of Lambeth in South London
Stockton-on-Tees	town in County Durham, England
councillor	representative of voters to a local government
University of Hamburg	university in Hamburg, Germany
Toronto	capital city of province of Ontario, Canada
Inverness	city in the Scottish Highlands
Bury	town in Greater Manchester, England
Royal Military Academy	military academy in Woolwich, in south-east London
Middlesbrough	town in North Yorkshire, north-east England
Chelsea	area of central London, England
De La Salle University	No description defined
Regensburg	town in Bavaria, Germany
Wagga Wagga	city in New South Wales, Australia
Cornwall	historic country and ceremonial county in England
Acadia University	university in Canada
Nicosia	capital city of Cyprus
University of Melbourne	Australian public university located in Melbourne, Victoria
University of the Philippines Diliman	public research university located in Quezon City, Philippines
Monterrey	city in Mexico
Greenwich Mean Time	zone time
Jakarta	province of Indonesia, capital region of Indonesia
Aberystwyth University	university in Wales
Magdalene College	constituent college of the University of Cambridge in England
University of Sydney	university in Sydney, Australia
Bridgend	town in Wales, United Kingdom
Lincoln	cathedral city and county town of Lincolnshire
West Berkshire	administrative territorial entity of the United Kingdom
Stratford-upon-Avon	town in Warwickshire, England
German Air Force	1935-1945 aerial warfare branch of the German military
Ilford	cosmopolitan town in the northeast of London, England
Politecnico di Milano	technical university in Milan, Italy
Queen's University	university in Kingston, Ontario, Canada
University of the West Indies	International university in the Caribbean
Rhineland-Palatinate	state of Germany
Gelderland	province of the Netherlands
Overijssel	province of the Netherlands
St Catherine's College	college of the University of Oxford
St Edmund Hall	college of the University of Oxford
Newcastle University	university in England, United Kingdom
Kiel	city in Schleswig-Holstein, Germany
Southampton	city in Hampshire, England
National and Kapodistrian University of Athens	Greek University
Sidney Sussex College	constituent college of the University of Cambridge
North Norfolk	local government district in Norfolk, United Kingdom
Central Alberta	region in the province of Alberta, Canada
Phillips Exeter Academy	American private college preparatory school
Hertford College	college of the University of Oxford
Newcastle	city in New South Wales, Australia
SOAS, University of London	public research university in London, England
University of Santo Tomas	private pontifical university in Manila
Malacca	Malaysian state
Delft University of Technology	university
Lake District	mountainous region in North West England
Ateneo de Manila University	a private teaching and research university run by the Society of Jesus in the Philippines
Brasenose College	college of the University of Oxford
Wimbledon	suburb of London
Rugby School	independent school in the United Kingdom
Rockhampton	city in Queensland, Australia
University of Waterloo	public research university in Waterloo, Ontario, Canada
Waterloo	city in Ontario, Canada
Manchester	major city in Greater Manchester, England, UK
Stockholm University	state university of Stockholm, Sweden
Sault Ste. Marie	city in Ontario, Canada
Wiltshire	ceremonial county of England (use Q21694746 for administrative unitary authority)
Windsor	city in Essex County, Ontario, Canada
Osgoode Hall Law School	law school in Toronto, Ontario
University of Lancaster	research university in Lancaster, England
National Institute of Dramatic Art	Australian national education and training institute for students in the performing arts
Quebec City	capital city of Quebec Province, Canada
Regina	capital city of the Canadian province of Saskatchewan
Chichester	city in West Sussex, England
Trier	town in Rhineland-Palatinate, Germany, oldest city in Germany
Oldham	town in Greater Manchester, England
University of Strasbourg	university in France (from 2009)
Lincoln College	college of the University of Oxford
Coventry	city in the West Midlands in England
Leipzig	city in Saxony, Germany
Southend-on-Sea	town in Essex, United Kingdom
Queen's College	college of the University of Cambridge
Hampshire	ceremonial county of England (use Q21694653 for administrative non-metropolitan county)
University of Manitoba	university in Winnipeg, Manitoba, Canada
Nottingham	city in Nottinghamshire, England
National Autonomous University of Mexico	university
Leicester	city in Leicestershire, East Midlands, England
Northampton	town in Northamptonshire, England, UK
Newcastle upon Tyne	city in Tyne and Wear, North East England
University of Birmingham	university in Birmingham, England, United Kingdom
Charterhouse School	English collegiate independent boarding school
Dumfries and Galloway	unitary council area of Scotland
Hanover	capital city of the German federated state of Lower Saxony
Humboldt University of Berlin	university in Berlin, Germany
Koblenz	town in Rhineland-Palatinate, Germany
Hamburg	city and federated state in Germany
Chelmsford	city in Essex, United Kingdom
Frankfurt	city in Hesse, Germany
Carleton University	university in Ottawa, Ontario, Canada
Sunderland	city in Tyne and Wear, North East England
Queensland University of Technology	university in Australia
Ghent University	Dutch-speaking university in Belgium
Colombo	commercial capital of Sri Lanka
York University	university in Toronto, Ontario, Canada
Rotherham	town in South Yorkshire, England
Chesterfield	market town in Derbyshire, England
Walsall	town in the English Midlands
Guildhall School of Music and Drama	music and dramatic arts school in London, England
University of the Witwatersrand	university in Johannesburg, South Africa
Brandon	city in Manitoba, Canada
Aachen	city in North Rhine-Westphalia, Germany
Guelph	city in Ontario, Canada
Folkestone	town in the Shepway District of Kent, England
Yukon	territory of Canada
Trinity College	constituent college of the University of Cambridge in England
Wellington College	school in the village of Crowthorne in Berkshire, England
Tower of London	castle in central London
Swindon	town in Wiltshire, England
University of Paris	university in Paris, France
Trinity College	college of the University of Oxford
East Sussex	ceremonial county in England (use Q21694646 for administrative non-metropolitan county)
Central Saint Martins	public tertiary art school in London, England
McMaster University	public research university in Hamilton, Ontario, Canada
Central Java Province	province of Indonesia, on island of Java, Indonesia
Michael Hordern	English actor, radio personality
Augsburg	city in Bavaria, Germany
Slough	town in Berkshire, England
Alberta	province of Canada
Ipswich	urban centre in South-East Queensland, Australia
Cambridge	city in Cambridgeshire, England
Tyne and Wear	county in England
Tel Aviv University	Public university located in Ramat Aviv, Tel Aviv, Israel
Southport	seaside town in the Metropolitan Borough of Sefton, England
Queensland	state of Australia
Merseyside	metropolitan county in North West England
Riga	capital and largest city of Latvia
Groningen	capital city of the province of Groningen, the Netherlands
University of Hull	university in Kingston upon Hull, England
wind farm	group of wind turbines
Ealing	suburb of London, England
Erlangen	large city in Bavaria, Germany
Burnaby	city in British Columbia, Canada
South Island	larger of the two major islands of New Zealand
Concordia University	university in Montreal, Quebec, Canada
Westminster	area of central London, within the City of Westminster
Queen Mary, University of London	public research university located in London, England; a constituent college of the federal University of London
University of Padua	university in Italy
Royal Tunbridge Wells	town in Kent, England
Christchurch	city and territorial authority on South Island, New Zealand
University of Exeter	public research university located in South West England, United Kingdom
Hilversum	municipality in North Holland, the Netherlands
Coburg	town in Bavaria, Germany
Harrow School	English independent school for boys
Guildford	county town of Surrey in England
Heriot-Watt University	university
Gloucestershire	ceremonial county in England (use Q21694733 for administrative non-metropolitan county)
South Australia	state of Australia
South Shields	coastal town at the mouth of the River Tyne, England
Fender Precision Bass	No description defined
University of Nottingham	university based in Nottingham, England
Dorset	ceremonial county in South West England
University of Mumbai	state university in Mumbai, Maharashtra, India
East Riding of Yorkshire	ceremonial county of England (use Q21695028 for administrative unitary authority)
Woking	large town in Surrey, England
Goethe University Frankfurt	university in Frankfurt, Germany
New Westminster	city in British Columbia, Canada
Saxony	state in Germany
University of Leeds	university in England
Alexandria	second largest city in Egypt
Inner Hebrides	archipelago off the west coast of mainland Scotland
University of New Brunswick	university
University of Oxford	collegiate public research university located in Oxford, England, United Kingdom
Downing College	college of the University of Cambridge
West Norwood Cemetery	cemetery in West Norwood in London, England
Australian Capital Territory	territory containing Australia's capital city, Canberra
North Rhine-Westphalia	state of Germany
World Heritage Site	place listed by the UNESCO as of special cultural or physical significance
University of Liverpool	British university
Reading	town in the county of Berkshire in England
Mission Revival architecture	architectural movement, style
Royal College, Colombo	selective school
Penang	state in Malaysia
Richmond	town in London, England
Charlottetown	province capital of Prince Edward Island, Canada
Melbourne	capital city of Victoria, Australia
Belfast	city of the United Kingdom, capital of Northern Ireland
Blackpool	town in Lancashire, England
University of Helsinki	university in Helsinki, Finland
London Borough of Tower Hamlets	London borough to the east of the City of London, London, England
Darwin	capital city of the Northern Territory, Australia
Munich	city in Bavaria, Germany
Williams F1	British Formula One motor racing team and constructor
Darlington	town in County Durham, England
University of Leicester	university
Wiesbaden	capital of the German state of Hesse
Beirut	capital of Lebanon
Magdalen College	One of the constituent colleges of the University of Oxford in England, UK
High Wycombe	town in Buckinghamshire, England
Gateshead	town in Tyne and Wear, England
Italia Conti Academy of Theatre Arts	independent school in London
Saskatoon	city in Saskatchewan, Canada
Richmond	city in British Columbia, Canada
Saxony-Anhalt	state of Germany
Delft	municipality in the Netherlands
University of Alberta	university in Edmonton, Alberta, Canada
Eastbourne	town in East Sussex, England
Seoul	capital city of South Korea
New South Wales	state of Australia
Bremen	city in the Bremen federated state, Germany
Croydon	town in South London, England
Mississauga	city in Ontario, Canada
Utrecht	province of the Netherlands
Cairns	city in Queensland
Java	island of Indonesia
Staffordshire	ceremonial county in England (use Q21694786 for administrative non-metropolitan county)
Swansea	coastal city in Wales
Frankfurt (Oder)	town in Brandenburg, Germany
Jesus College	college of the University of Oxford in England
Moncton	city in New Brunswick, Canada
Lancashire	ceremonial county in North-West England (use Q21279371 for administrative non-metropolitan county)
Free University of Berlin	research university located in Berlin, Germany
Hebrew University of Jerusalem	Israeli University in Jerusalem
Balliol College	constituent college of the University of Oxford
Sheffield	city in South Yorkshire, England
Exeter	city in Devon, England
Cardiff	capital city of Wales
University of Tokyo	research university in Tokyo, Japan
Harrogate	town in North Yorkshire, England
University of Wales	confederal university based in Cardiff, Wales, UK
Victoria	capital city of province of British Columbia, Canada
Warrington	English town
Mansfield	town in Nottinghamshire, England
Jena	city in Thuringia, Germany
Worcester	city and the county town of Worcestershire, England
National School of Drama	No description defined
Newnham College	college of the University of Cambridge
La Plata	Capital of the Buenos Aires province, Argentina
Fitzwilliam College	college of the University of Cambridge
Penzance	town in Cornwall, UK
Corpus Christi College	college of the University of Oxford
National University of Singapore	Autonomous university in Singapore
London Borough of Enfield	London borough in north London, England
Shropshire	ceremonial county in the United Kingdom (use Q21694759 for administrative unitary authority)
Perak	Malaysian state
Great Yarmouth	town in Norfolk, UK
University of Edinburgh	public research university in Edinburgh, Scotland
Manitoba	province of Canada
Dresden	capital city of the Free State of Saxony in Germany
University of York	research-intensive plate glass university located in the city of York, England
Rostock	city in Mecklenburg-Vorpommern, Germany
Drenthe	province of the Netherlands
National Register of Historic Places	federal list of historic sites in the United States
Townsville	city in Queensland, Australia
Warwickshire	county in England, UK
Breda	municipality and city in the Netherlands
Shrewsbury	county town of Shropshire, West Midlands, England
Emmanuel College	college of the University of Cambridge
Greater London	administrative area, ceremonial county in England
Lewisham	area in South East London
Royal Military Academy Sandhurst	British Army officer initial training centre
Durham	city in England, United Kingdom
University of St Andrews	university in St Andrews, Fife, Scotland
University of Jena	university located in Jena, Thuringia, Germany
Brisbane	capital city of Queensland, Australia
Birmingham	major city in England
Seoul National University	national research university located in Seoul, Korea
University of Manchester	public research university in Manchester, England
Argyll and Bute	unitary authority council area in Scotland
Kent	ceremonial county in England (use Q21694674 for administrative non-metropolitan county)
Greenwich	town in south-east London, England
Crawley	town in West Sussex, England
Colchester	town in Essex, United Kingdom
Heidelberg University	public research university in Heidelberg, Germany
Nelson region	region of New Zealand
University of Essex	A British public research university in Colchester, Essex.
Fremantle	port city in Western Australia
London Borough of Camden	borough of London, England
Allahabad University	public central university in Allahabad, Uttar Pradesh
Nova Scotia	province of Canada
