nohup: 忽略输入
relation_num:  1345 entity_num:  14951
epoch: 0 134040.786924 time:  48  rate:  0.01 gradient: 135836
epoch: 1 44756.9677452 time:  43  rate:  0.01 gradient: 59449
epoch: 2 25709.0984027 time:  41  rate:  0.01 gradient: 38036
epoch: 3 17928.3810642 time:  40  rate:  0.01 gradient: 28053
epoch: 4 14197.0444161 time:  39  rate:  0.01 gradient: 22785
epoch: 5 12176.7473644 time:  39  rate:  0.01 gradient: 19719
epoch: 6 10445.2499594 time:  39  rate:  0.01 gradient: 17497
epoch: 7 9370.97713359 time:  39  rate:  0.01 gradient: 15816
epoch: 8 8497.13137144 time:  38  rate:  0.01 gradient: 14622
epoch: 9 7862.49585684 time:  38  rate:  0.01 gradient: 13432
epoch: 10 7453.76719697 time:  38  rate:  0.01 gradient: 12717
epoch: 11 7033.46132177 time:  38  rate:  0.01 gradient: 12012
epoch: 12 6671.23514428 time:  38  rate:  0.01 gradient: 11588
epoch: 13 6447.48340666 time:  38  rate:  0.01 gradient: 11078
epoch: 14 6150.59202963 time:  38  rate:  0.01 gradient: 10572
epoch: 15 5938.62444714 time:  38  rate:  0.01 gradient: 10392
epoch: 16 5770.98582952 time:  38  rate:  0.01 gradient: 9875
epoch: 17 5505.00321071 time:  38  rate:  0.01 gradient: 9632
epoch: 18 5260.58765952 time:  38  rate:  0.01 gradient: 9263
epoch: 19 5249.24419147 time:  38  rate:  0.01 gradient: 9120
epoch: 20 5111.40395304 time:  38  rate:  0.01 gradient: 8777
epoch: 21 4887.48971341 time:  38  rate:  0.01 gradient: 8533
epoch: 22 4883.60213214 time:  38  rate:  0.01 gradient: 8509
epoch: 23 4822.36449193 time:  38  rate:  0.01 gradient: 8293
epoch: 24 4584.91027795 time:  38  rate:  0.01 gradient: 8099
epoch: 25 4760.65027307 time:  38  rate:  0.01 gradient: 8193
epoch: 26 4570.39338364 time:  38  rate:  0.01 gradient: 7893
epoch: 27 4409.97561343 time:  38  rate:  0.01 gradient: 7798
epoch: 28 4236.82132679 time:  38  rate:  0.01 gradient: 7479
