nohup: 忽略输入
relation_num:  1345 entity_num:  14951
epoch: 0 130428.425305 time:  138  rate:  0.01 gradient: 133285
epoch: 1 41764.8451546 time:  113  rate:  0.01 gradient: 55896
epoch: 2 23996.2312574 time:  105  rate:  0.01 gradient: 35733
epoch: 3 17268.6208163 time:  102  rate:  0.01 gradient: 27191
epoch: 4 13573.2711448 time:  100  rate:  0.01 gradient: 22012
epoch: 5 11576.40233 time:  99  rate:  0.01 gradient: 19140
epoch: 6 10243.6782882 time:  98  rate:  0.01 gradient: 17029
epoch: 7 9274.77993385 time:  98  rate:  0.01 gradient: 15448
epoch: 8 8358.18985728 time:  98  rate:  0.01 gradient: 14265
epoch: 9 7944.69099839 time:  98  rate:  0.01 gradient: 13239
epoch: 10 7276.79827777 time:  96  rate:  0.01 gradient: 12366
epoch: 11 6857.96332112 time:  95  rate:  0.01 gradient: 11790
epoch: 12 6436.27255827 time:  94  rate:  0.01 gradient: 11238
epoch: 13 6322.72588656 time:  94  rate:  0.01 gradient: 10748
epoch: 14 6041.90691859 time:  95  rate:  0.01 gradient: 10421
epoch: 15 5839.16420934 time:  94  rate:  0.01 gradient: 10029
epoch: 16 5639.82838636 time:  94  rate:  0.01 gradient: 9719
epoch: 17 5516.26837115 time:  94  rate:  0.01 gradient: 9488
epoch: 18 5267.73326892 time:  94  rate:  0.01 gradient: 9033
epoch: 19 5203.07811106 time:  95  rate:  0.01 gradient: 8913
epoch: 20 5003.89734359 time:  94  rate:  0.01 gradient: 8595
epoch: 21 4916.02180901 time:  94  rate:  0.01 gradient: 8541
epoch: 22 4816.75170848 time:  94  rate:  0.01 gradient: 8397
epoch: 23 4754.19310329 time:  101  rate:  0.01 gradient: 8264
epoch: 24 4519.49223812 time:  103  rate:  0.01 gradient: 7916
epoch: 25 4441.63809571 time:  103  rate:  0.01 gradient: 7808
epoch: 26 4389.69015778 time:  102  rate:  0.01 gradient: 7701
epoch: 27 4310.78985897 time:  102  rate:  0.01 gradient: 7613
epoch: 28 4279.00231067 time:  102  rate:  0.01 gradient: 7420
epoch: 29 4294.38526839 time:  102  rate:  0.01 gradient: 7479
epoch: 30 4124.20934266 time:  102  rate:  0.01 gradient: 7205
epoch: 31 3969.86568444 time:  102  rate:  0.01 gradient: 6983
epoch: 32 4005.21979446 time:  102  rate:  0.01 gradient: 6944
epoch: 33 3911.97070044 time:  102  rate:  0.01 gradient: 6821
epoch: 34 3928.47440467 time:  102  rate:  0.01 gradient: 6869
epoch: 35 3916.07201591 time:  102  rate:  0.01 gradient: 6744
epoch: 36 3743.24685563 time:  102  rate:  0.01 gradient: 6646
epoch: 37 3717.61765611 time:  102  rate:  0.01 gradient: 6533
epoch: 38 3752.62465176 time:  97  rate:  0.01 gradient: 6527
epoch: 39 3652.54326115 time:  94  rate:  0.01 gradient: 6544
epoch: 40 3628.7787278 time:  94  rate:  0.01 gradient: 6360
epoch: 41 3665.25967638 time:  93  rate:  0.01 gradient: 6487
epoch: 42 3616.13424258 time:  94  rate:  0.01 gradient: 6276
epoch: 43 3593.72165066 time:  94  rate:  0.01 gradient: 6290
epoch: 44 3507.67551803 time:  94  rate:  0.01 gradient: 6183
epoch: 45 3723.58124336 time:  94  rate:  0.01 gradient: 6342
change rate:  0.001
epoch: 46 3169.38734998 time:  94  rate:  0.001 gradient: 5532
epoch: 47 2821.95777652 time:  93  rate:  0.001 gradient: 4953
epoch: 48 2717.55661106 time:  93  rate:  0.001 gradient: 4787
epoch: 49 2534.84123461 time:  93  rate:  0.001 gradient: 4356
epoch: 50 2538.55233469 time:  93  rate:  0.001 gradient: 4304
epoch: 51 2443.34858324 time:  93  rate:  0.001 gradient: 4236
epoch: 52 2278.90620823 time:  93  rate:  0.001 gradient: 3957
epoch: 53 2259.96485977 time:  93  rate:  0.001 gradient: 3880
epoch: 54 2288.78943973 time:  93  rate:  0.001 gradient: 3861
