,0,1
"/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/film/film/estimated_budget./measurement_unit/dated_money_value/currency
/location/statistical_region/gni_in_ppp_dollars./measurement_unit/dated_money_value/currency
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/business_operation/retained_earnings./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/business/business_operation/cash./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/net_profit./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/business/business_operation/current_assets./measurement_unit/dated_money_value/currency
/business/business_operation/liabilities./measurement_unit/dated_money_value/currency
/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/currency
/location/country/currency_used
/business/business_operation/current_liabilities./measurement_unit/dated_money_value/currency
/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency
/film/film/gross_revenue./measurement_unit/dated_money_value/currency
/user/narphorium/people/wealthy_person/net_worth./measurement_unit/dated_money_value/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/architecture/structure/construction_cost./measurement_unit/money_value/currency","/finance/currency/countries_used
",
"/film/film/production_companies
/organization/organization_sector/organizations_in_this_sector","/film/production_company/films
",
"/sports/sports_team/league./sports/sports_league_participation/league
/sports/sport/leagues","/sports/sports_league/teams./sports/sports_league_participation/team
",
"/people/person/profession
/people/profession/specializations","/people/profession/people_with_this_profession
",
"/astronomy/celestial_object/category
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/astronomy/celestial_object_category/objects
",
"/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium","/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film
",
"/sports/sports_team/colors
/education/educational_institution/colors
/film/film_genre/films_in_this_genre","/dataworld/gardening_hint/split_to
",
"/education/educational_institution/students_graduates./education/education/degree
/people/person/education./education/education/degree","/education/educational_degree/people_with_this_degree./education/education/institution
",
"/education/educational_institution/school_type
/film/film/subjects","/education/school_category/schools_of_this_kind
",
"/location/location/contains
/time/time_zone/locations_in_this_time_zone","/location/location/containedby
","/base/biblioness/bibs_location/country
"
"/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone
/location/location/time_zones","/time/time_zone/locations_in_this_time_zone
",
"/music/artist/genre
/music/genre/subgenre","/music/genre/artists
",
"/location/location/time_zones
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone","/time/time_zone/locations_in_this_time_zone
",
"/tv/tv_program/genre
/media_common/media_genre/parent_genre","/tv/tv_genre/programs
",
"/business/employer/employees./business/employment_tenure/title
/organization/organization/leadership./organization/leadership/role","/business/job_title/people_with_this_title./business/employment_tenure/company
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/film/film/estimated_budget./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/location/country/currency_used
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency
/business/business_operation/net_profit./measurement_unit/dated_money_value/currency
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency","/finance/currency/countries_used
",
"/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/location/country/currency_used","/finance/currency/countries_used
",
"/business/business_operation/industry
/education/educational_institution/students_graduates./education/education/specialization
/people/profession/specialization_of","/business/industry/companies
",
"/people/person/religion
/location/statistical_region/religions./location/religion_percentage/religion
/religion/religion/includes","/base/popstra/religion/membership./base/popstra/religion_choice/member
",
"/location/statistical_region/religions./location/religion_percentage/religion
/people/person/religion
/religion/religion/includes","/religion/religion/is_part_of
",
"/film/film/film_festivals
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue
/location/location/events
/film/film_festival/individual_festivals","/film/film_festival_event/films
",
"/people/person/religion
/base/activism/activist/area_of_activism
/location/statistical_region/religions./location/religion_percentage/religion","/base/activism/activism_issue/activists
",
"/fictional_universe/fictional_character/species
/biology/organism_classification_rank/organism_classifications","/fictional_universe/character_species/characters_of_this_species
",
"/music/artist/genre
/music/genre/parent_genre","/music/genre/artists
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/medicine/disease/prevention_factors","/medicine/condition_prevention_factors/conditions_this_may_prevent
",
"/education/educational_institution/school_type
/organization/organization/organization_type","/education/school_category/schools_of_this_kind
",
"/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
/sports/sports_award_winner/awards./sports/sports_award/season
/baseball/baseball_player/batting_stats./baseball/batting_statistics/season","/sports/sports_league_season/awards./sports/sports_award/award_winner
",
"/people/ethnicity/languages_spoken
/people/person/languages
/tv/tv_program/languages
/film/film/language
/location/country/languages_spoken
/language/human_language/dialects","/language/language_dialect/language
",
"/people/person/religion
/religion/religion/includes","/religion/religion/is_part_of
",
"/film/film/genre
/media_common/media_genre/child_genres","/film/film_genre/films_in_this_genre
",
"/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation
/film/film/subjects
/travel/transport_operator/travel_destinations_served./travel/transportation/mode_of_transportation","/film/film_subject/films
",
"/location/location/contains
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site
/base/culturalevent/event/entity_involved","/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
",
