,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"/location/location/contains
","/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/location/administrative_division/second_level_division_of
/location/location/time_zones
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/location/containedby","/transportation/road/major_cities
/transportation/road/end2./transportation/road_starting_point/location
/location/location/containedby
/transportation/road/end1./transportation/road_starting_point/location","/location/location/time_zones
/location/location/containedby","/base/biblioness/bibs_location/state
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/base/biblioness/bibs_location/country
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/location/containedby
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source","/location/location/containedby
/base/biblioness/bibs_location/country","/location/location/containedby
/location/location/people_born_here","/sports/sports_team_location/teams
/location/location/containedby","/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/location/time_zones
/location/location/containedby
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source","/location/location/containedby
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/location/time_zones
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source","/geography/river/cities
/location/location/containedby
/geography/river/mouth","/base/biblioness/bibs_location/state
/location/location/containedby
/base/aareas/schema/administrative_area/administrative_parent","/base/biblioness/bibs_location/state
/base/biblioness/bibs_location/country
/location/location/containedby","/base/biblioness/bibs_location/state
/location/location/containedby
/base/biblioness/bibs_location/country","/location/location/containedby
/base/biblioness/bibs_location/country
/base/biblioness/bibs_location/state","/location/location/containedby
/location/administrative_division/country","/base/biblioness/bibs_location/country
/location/location/containedby","/location/location/containedby
/base/biblioness/bibs_location/country
/location/location/time_zones","/location/administrative_division/country
/location/location/containedby"
"/symbols/namesake/named_after
","/royalty/royal_line/kingdom_s_ruled
/symbols/name_source/namesakes
/people/family/country","/people/deceased_person/place_of_death
/base/saints/saint/venerated_in",,,,,,,,,,,,,,,,
"/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft
","/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/team","/sports/sports_league_draft/picks./sports/sports_league_draft_pick/team
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school",,,,,,,,,,,,,,,,
"/people/person/ethnicity
","/people/ethnicity/people
/people/ethnicity/languages_spoken
/people/ethnicity/geographic_distribution","/people/ethnicity/people
/people/ethnicity/languages_spoken","/people/ethnicity/people
/people/ethnicity/geographic_distribution","/people/ethnicity/languages_spoken
/people/ethnicity/people
/people/ethnicity/geographic_distribution","/people/ethnicity/people
/dataworld/gardening_hint/split_to
/people/ethnicity/geographic_distribution","/people/ethnicity/languages_spoken
/people/ethnicity/people","/people/ethnicity/people
/people/ethnicity/geographic_distribution
/people/ethnicity/languages_spoken","/people/ethnicity/people
/people/ethnicity/languages_spoken
/people/ethnicity/included_in_group
/people/ethnicity/geographic_distribution","/people/ethnicity/people
/people/ethnicity/languages_spoken
/people/ethnicity/geographic_distribution
/people/person/gender","/people/ethnicity/languages_spoken
/people/ethnicity/people
/dataworld/gardening_hint/split_to","/people/ethnicity/people
/people/ethnicity/languages_spoken
/people/ethnicity/included_in_group","/people/ethnicity/geographic_distribution
/people/ethnicity/people
/people/ethnicity/languages_spoken","/people/ethnicity/geographic_distribution
/people/ethnicity/languages_spoken",,,,,
"/business/industry/companies
","/business/business_operation/industry
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/employer/employees./business/employment_tenure/person
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/place_founded
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency","/organization/organization/headquarters./location/mailing_address/state_province_region
/business/business_operation/current_assets./measurement_unit/dated_money_value/currency
/business/business_operation/industry
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/current_liabilities./measurement_unit/dated_money_value/currency
/business/business_operation/net_profit./measurement_unit/dated_money_value/currency
/organization/organization/headquarters./location/mailing_address/citytown
/business/business_operation/liabilities./measurement_unit/dated_money_value/currency","/organization/organization/headquarters./location/mailing_address/citytown
/business/business_operation/industry
/organization/organization/place_founded","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/child./organization/organization_relationship/child
/business/business_operation/industry
/organization/organization/leadership./organization/leadership/role
/organization/organization/place_founded","/organization/organization/headquarters./location/mailing_address/citytown
/business/business_operation/industry","/organization/organization/place_founded
/organization/organization/parent./organization/organization_relationship/parent
/business/business_operation/industry
/organization/organization/headquarters./location/mailing_address/citytown","/organization/organization/place_founded
/organization/organization/headquarters./location/mailing_address/citytown
/business/business_operation/industry
/organization/organization/headquarters./location/mailing_address/state_province_region","/organization/organization/place_founded
/business/business_operation/industry","/business/business_operation/industry
/organization/organization/place_founded
/organization/organization/headquarters./location/mailing_address/citytown","/organization/organization/parent./organization/organization_relationship/parent
/business/business_operation/industry
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/place_founded","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/place_founded
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/parent./organization/organization_relationship/parent","/business/business_operation/industry
/organization/organization/headquarters./location/mailing_address/citytown","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/place_founded","/business/business_operation/industry
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/organization/organization/headquarters./location/mailing_address/citytown
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone
/organization/organization/parent./organization/organization_relationship/parent
/organization/organization/legal_structure
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category",,,,
"/people/person/profession
","/people/profession/people_with_this_profession
/people/profession/specialization_of","/people/profession/people_with_this_profession
/dataworld/gardening_hint/split_to
/people/profession/specialization_of","/people/profession/specialization_of
/people/profession/people_with_this_profession",,,,,,,,,,,,,,,
"/music/artist/genre
","/music/genre/artists
/music/genre/parent_genre","/music/genre/artists
/music/genre/parent_genre
/music/genre/subgenre","/music/genre/parent_genre
/music/genre/artists
/music/genre/subgenre",,,,,,,,,,,,,,,
"/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/source
","/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone",,,,,,,,,,,,,,,,,
"/people/person/spouse_s./people/marriage/type_of_union
","/people/marriage_union_type/unions_of_this_type./people/marriage/spouse
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony","/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/people/marriage_union_type/unions_of_this_type./people/marriage/spouse",,,,,,,,,,,,,,,,
"/royalty/monarch/royal_line
","/people/family/country
/royalty/royal_line/kingdom_s_ruled
/royalty/royal_line/monarchs_from_this_line",,,,,,,,,,,,,,,,,
